,Type,Duration,Budget,TYPE,Ques
0,"['Cultural', 'Relaxing']",3,11700,Friends,Yes
1,"['Spiritual', 'City Life', 'Cultural', 'Adventure and Outdoors', 'Relaxing']",12,138700,Individual,Yes
